ab  a p
tätig  t eh t i ch
tatsächlich  t a t z e ch l i ch
tausend  t au z ex n t
tausende  t au z ex n d ex
taz  t a ts
team  t ih m
technisch  t e ch n i sh
teil  t ei l
teile  t ei l ex
teilen  t ei l ex n
teilnehmen  t ei l n eh m ex n
teils  t ei l s
teilweise  t ei l v ei z ex
termin  t er m ih n
testen  t e s t ex n
teuer  t eu er
teurer  t eu r er
texte  t e k s t ex
thema  t eh m a
tief  t ih f
tiefe  t ih f ex
tiefen  t ih f ex n
tiefer  t ih f er
time  t ei m
tippen  t i p ex n
titel  t ih t ex l
tja  t j a
toll  t o l
tolle  t o l ex
tollen  t o l ex n
toller  t o l er
tolles  t o l ex s
tor  t oh er
tot  t oh t
total  t oh t a l
tote  t oh t ex
toten  t oh t ex n
töten  t oeh t ex n
traf  t r a f
trage  t r a g ex
tragen  t r a g ex n
trägt  t r e k t
trainer  t r eh n er
tränen  t r eh n ex n
trat  t r a t
träume  t r eu m ex
träumen  t r eu m ex n
traurig  t r au r i ch
treffen  t r e f ex n
treiben  t r ei b ex n
treibt  t r ei p t
trennen  t r e n ex n
treten  t r eh t ex n
trifft  t r i f t
trinken  t r i ng k ex n
tritt  t r i t
trocken  t r o k ex n
trotz  t r o ts
trotzdem  t r o ts d eh m
trug  t r uh k
tu  t uh
tue  t uh ex
tun  t uh n
tür  t ueh er
tut  t uh t
typisch  t ueh p i sh
typischen  t ueh p i sh ex n
übel  ueh b ex l 
üben  ueh b ex n
über  ueh b er
überall  ueh b er a l
überaus  ueh b er au s
überhaupt  ueh b er h au p t
überlassen  ueh b er l a s ex n
überleben  ueh b er l eh b ex n
überlege  ueh b er l eh g ex
überlegen  ueh b er l eh g ex n
überlegt  ueh b er l eh k t
übernehmen  ueh b er n eh m ex n
übernommen  ueh b er n o m ex n
überprüfung  ueh b er p r ueh f u ng
überraschend  ueh b er r a sh ex n t
überrascht  ueh b er r a sh t
übers  ueh b er s
übertragen  ueh b er t r a g ex n
überwiegend  ueh b er v ih g ex n t
überzeugen  ueh b er ts eu g ex n
überzeugt  ueh b er ts eu k t
üblich  ueh p l i ch
üblichen  ueh p l i ch ex n
übrig  ueh b r i ch
übrigen  ueh b r i g ex n
übrigens  ueh p r i g ex n s
uhr  uh er
um  u m
umfang  u m f a ng
umfassend  u m f a s ex n t
umgehen  u m g eh ex n
umgekehrt  u m g ex k eh er t
umgesetzt  u m g ex z e ts t
ums  u m s
umsatz  u m z a ts
umso  u m z oh
umsonst  u m z o n s t
unabhängig  u n q a p h e ng i ch
unangenehm  u n q a ng ex n eh m
unbedingt  u n b ex d i ng t
und  u n t
unendlich  u n q e n t l i ch
ungefähr  u n g ex f e er
unglaublich  u n g l au p l i ch
unheimlich  u n h ei m l i ch
uni  u n ih
union  u n j o n
unklar  u ng k l a er
unmittelbar  u n m i t ex l b a er
unmöglich  u n m oeh k l i ch
unrecht  u n r e ch t
uns  u n s
unser  u n z er
unsere  u n z ex r ex
unserem  u n z ex r ex m
unseren  u n z ex r ex n
unserer  u n z ex r er
unseres  u n z ex r ex s
unserm  u n z er m
unsicher  u n z i ch er
unten  u n t ex n
unter  u n t er
unteren  u n t ex r ex n
unterhalten  u n t er h a l t ex n
unternehmen  u n t er n eh m ex n
unterscheiden  u n t er sh ei d ex n
unterschied  u n t er sh ih t
unterschiedlich  u n t er sh ih t l i ch
unterschiedliche  u n t er sh ih t l i ch ex
unterschiedlichen  u n t er sh ih t l i ch ex n
unterstützen  u n t er sh t ue ts ex n
unterstützt  u n t er sh t ue ts t
untersuchung  u n t er z uh xh u ng
unterwegs  u n t er v eh k s
ursprünglich  uh er sh p r ue ng l i ch
vater  f a t er
verabschiedet  f er a p sh ih d ex t
verändern  f e er q e n d er n
verändert  f er q e n d er t
verantwortlich  f e er q a n t v o er t l i ch
verbessern  f er b e s er n
verbinden  f er b i n d ex n
verboten  f er b oh t ex n
verbracht  f er b r a xh t
verbrechen  f er b r e ch ex n
verbreitet  f er b r ei t ex t
verbringen  f er b r i ng ex n
verbunden  f er b u n d ex n
verdacht  f er d a xh t
verdammt  f er d a m t
verdienen  f er d ih n ex n
verdient  f er d ih n t
verein  f er ei n
vereinigten  f er ei n i k t ex n
verfahren  f er f a r ex n
verfolgen  f er f o l g ex n
verfolgt  f er f o l k t
verfügt  f er f ueh k t
verfügung  f er f ueh g u ng k
vergangenen  f er g a ng ex n ex n
vergeben  f er g eh b ex n
vergessen  f er g e s ex n
vergleichen  v er g l ei ch ex n
vergnügen  f er g n ueh g ex n
verhalten  f er h a l t ex n
verhandlung  f er h a n d l u ng
verhindern  f er h i n d er n
verhindert  f er h i n d er t
verkauf  f er k au f
verkaufen  f er k au f ex n
verkauft  f er k au f t
verlangen  f er l a ng ex n
verlangt  f er l a ng t
verlassen  f er l a s ex n
verlauf  f er l au f
verletzen  f er l e ts ex n
verletzt  f er l e ts t
verliebt  f er l ih p t
verlieren  f er l ih r ex n
verliert  f er l ih er t
verloren  f er l oh r ex n
verlust  f er l u s t
vermeiden  f er m ei d ex n
vermittelt  f er m i t ex l t
vermögen  f er m oeh g ex n
vermute  f er m uh t ex
vermutlich  f er m uh t l i ch
veröffentlichen  f er oe f ex n t l i ch ex n
veröffentlicht  f e er q oe f ex n t l i ch t
verpasst  f er p a s t
verpflichtet  f er pf l i ch t ex t
verraten  f er r a t ex n
verrückt  f er r ue k t
verschiedene  f er sh ih d ex n ex
verschiedenen  f er sh ih d ex n ex n
verschwinden  f er sh v i n d ex n
verschwindet  f er sh v i n d ex t
verschwunden  f er sh v u n d ex n
versehen  f er z eh ex n
versprechen  f er sh p r e ch ex n
verspricht  f er sh p r i ch t
versprochen  f er sh p r o xh ex n
verstand  f er sh t a n t
verstanden  f er sh t a n d ex n
verständlich  f er sh t e n t l i ch
verstecken  f er sh t e k ex n
versteckt  f er sh t e k t
verstehe  f er sh t eh ex
verstehen  f er sh t eh ex n
versteht  f er sh t eh t
versuch  f er z uh xh
versuche  f er z uh xh ex
versuchen  f er z uh xh ex n
versucht  f er z uh xh t
versuchte  f er z uh xh t ex
verteilen  f er t ei l ex n
verteilt  f er t ei l t
vertrag  f e er t r a k
vertrauen  f er t r au ex n
vertraut  v er t r au t
vertreten  f er t r eh t ex n
verursacht  f er u er z a ch t
verurteilt  f er q uh er t ei l t
verwenden  f er v e n d ex n
verwendet  f er v e n d ex t
verwirrt  f er v i er t
verzichten  f er ts i ch t ex n
verzichtet  f er ts i ch t ex t
verzweifelt  f er ts v ei f ex l t
via  v ih a
viel  f ih l
viele  f ih l ex
vielen  f ih l ex n
vieler  f ih l er
vieles  f ih l ex s
vielleicht  f ih l ei ch t
vielmehr  f ih l m e er
vier  f ih er
viertel  f i er t ex l
vögel  f oeh g ex l
volk  f o l k
voll  f o l
volle  f o l ex
vollen  f o l ex n
voller  f o l er
völlig  f oe l i ch
vollkommen  f o l k o m ex n
vollständig  f o l sh t e n d i ch
vom  f o m
von  f o n
vor  f o er
voran  f o r a n
voraus  f o r au s
vorbei  f o er b ei
vorbereitet  f o er b ex r ei t ex t
vorerst  f o er q er s t
vorgehen  f o er g eh ex n
vorgenommen  f o er g ex n o m ex n
vorgestellt  f o er g ex sh t e l t
vorhanden  f o er h a n d ex n
vorher  f oh er h e er
vorhin  f o er h i n
vorm  f o er m
vorn  v o er n
vorne  f o er n ex
vorschlag  f o er sh l a k
vorsichtig  f o er z i ch t i ch
vorstand  f o er sh t a n t
vorstellen  f o er sh t e l ex n
vorwurf  f o er v u er f
wach  v a xh
wachsen  v a k s ex n
wächst  v e k s t
wagen  v a g ex n
wahl  v a l
wählen  v eh l ex n
wahnsinnig  v a n z i n i ch
wahr  v a er
wahre  v a r ex
wahren  v a r ex n
während  v eh r ex n t
wahrgenommen  v a er g ex n o m ex n
wahrlich  v a er l i ch
wahrscheinlich  v a er sh ei n l i ch
wand  v a n t
wände  v e n d ex
wandern  w a n d er n
wann  v a n
war  v a er
war  v a er
wäre  v eh r ex
waren  v a r ex n
wären  v eh r ex n
warf  v a er f
warm  v a er m
warme  v a er m ex
wärme  v er m ex
warmen  w a er m ex n
warnen  v a er n ex n
warst  v a er s t
warte  v a er t ex
warten  v a er t ex n
wartet  w a er t ex t 
wartete  v a er t ex t ex
warum  v a r u m
was  v a s
waschen  v a sh ex n
wasser  v a s er
web  v e p
wechseln  v e k s ex l n
weder  v eh d er
weg  w e k
wegen  v eh g ex n
weh  v eh
weich  v ei ch
weil  v ei l
weile  v ei l ex
wein  v ei n
weinen  v ei n ex n
weise  v ei z ex
weisen  v ei z ex n
weiß  v ei s
weiße  v ei s ex
weißen  v ei s ex n
weißt  v ei s t
weit  v ei t
weitaus  v ei t au s
weite  v ei t ex
weiten  v ei t ex n
weiter  v ei t er
weitere  v ei t ex r ex
weiteren  v ei t ex r ex n
weiterer  v ei t ex r er
weiteres  v ei t ex r ex s
weiterhin  v ei t er h i n
weitgehend  v ei t g eh ex n t
welch  v ai ch
welche  v e l ch ex
welchem  v e l ch ex m
welchen  v e l ch ex n
welcher  v e l ch er
welches  v e l ch ex s
wellen  v e l ex n
welt  v e l t
weltweit  v e l t v ei t
wem  v eh m
wen  v eh n
wenden  v e n d ex n
wenig  v eh n i ch
wenige  v eh n i g ex
wenigen  v eh n i g ex n
weniger  v eh n i g er
wenigsten  v eh n i ch s t ex n
wenigstens  v eh n i ch s t ex n s
wenn  v e n
wer  v e er
werde  v e er d ex
werden  v e er d ex n
werdet  v e er d ex t
werfen  v e er f ex n
werke  v e er k ex
wert  v e er t
werte  v e er t ex
wesentlich  v eh z ex n t l i ch
wesentlichen  v eh z ex n t l i ch ex n
weshalb  v e s h a l p
westlichen  v e s t l i ch ex n
wettbewerb  v e t b ex v er p
wetter  v e t er
wichtig  v i ch t i ch
wichtige  v i ch t i g ex
wichtigen  v i ch t i g ex n
wichtiger  v i ch t i g er
wichtigste  v i ch t i ch s t ex
wichtigsten  v i ch t i ch s t ex n
widerstand  v ih d er sh t a n t
wie  v ih
wieder  v ih d er
wiederholen  v ih d er h oh l ex n
wiederholt  v ih d er h oh l t
wiederum  v ih d ex r u m
wieso  v ih z oh
wild  v i l t
will  v i l
willen  v i l ex n
willkommen  v i l k o m ex n
willst  v i l s t
winter  v i n t er
wir  v ih er
wird  v i er t
wirft  v i er f t
wirken  v i er k ex n
wirklich  v i er k l i ch
wirkliche  w i er k l i ch ex
wirkt  v i er k t
wirst  v i er s t
wirtschaft  v i er t sh a f t
wissen  v i s ex n
wisst  v i s t
witzig  v i ts i ch
wo  v oh
woanders  v oh q a n d er s
wobei  v oh b ei
woche  v o xh ex
wofür  v oh f ueh er
woher  v oh h er
wohin  v oh h i n
wohl  v oh l
wohne  v oh n ex
wohnen  v oh n ex n
wohnt  v oh n t
wolle  v o l ex
wollen  v o l ex n
wollt  v o l t
wollte  v o l t ex
wollten  v o l t ex n
womit  v oh m i t
womöglich  v oh m oeh k l i ch
woran  v oh r a n
worauf  v oh r au f
worden  v o er d ex n
wovon  v oh f o n
wozu  v oh ts uh
wunder  v u n d er
wunderbar  v u n d er b a er
wunderbare  v u n d er b a r ex
wunderbaren  v u n d er b a r ex n
wundern  v u n d er n
wunderschön  v u n d er sh oeh n
wunderschöne  v u n d er sh oeh n ex
wunderschönen  v u n d er sh oeh n ex n
wundert  v u n d er t
wunsch  v u n sh
wünsche  v ue n sh ex
wünschen  v ue n sh ex n
wünscht  v ue n sh t
wünschte  w ue n sh t ex
wurde  v u er d ex
würde  v ue er d ex
wurden  v u er d ex n
würden  v ue er d ex n
würdest  v ue er d ex s t
wusste  v u s t ex
wussten  w u s t ex n
wütend  w ue t ex n t
zahl  ts a l
zahlen  ts a l ex n
zählen  ts eh l ex n
zahlreiche  ts a l r ei ch ex
zahlreichen  ts a l r ei ch ex n
zahlt  ts a l t
zählt  ts eh l t
zehn  ts eh n
zeige  ts ei g ex
zeigen  ts ei g ex n
zeigt  ts ei k t
zeigte  ts ei k t ex
zeit  ts ei t
zentrale  ts e n t r a l ex
zerstören  ts er sh t oe er n
zerstört  ts er sh t oe er t
zettel  ts e t ex l
zeug  ts eu k
zeugen  ts eu g ex n
ziehe  ts ih ex
ziehen  ts ih ex n
zieht  ts ih t
ziel  ts ih l
ziele  ts ih l ex
ziemlich  ts ih m l i ch
zimmer  ts i m er
zitiert  ts ih t ih er t
zog  ts oh k
zu  ts uh
zudem  ts uh d eh m
zuerst  ts uh e er s t
zufällig  ts uh f e l i ch
zufrieden  ts uh f r ih d ex n
zugeben  ts uh g eh b ex n
zugegeben  ts uh g ex g eh b ex n
zugleich  ts uh g l ei ch
zuhause  ts uh h au z ex
zukunft  ts uh k u n f t
zuletzt  ts uh l e ts t
zum  ts u m
zumal  ts uh m a l
zumindest  ts uh m i n d ex s t
zunächst  ts uh n eh ch s t
zunehmend  ts uh n eh m ex n t
zur  ts uh er
zurecht  ts uh r e ch t
zurück  ts uh r ue k
zusammen  ts uh z a m ex n
zusätzlich  ts uh s e ts l i ch
zusätzliche  ts uh z e ts l i ch ex
zustand  ts uh sh t a n t
zustimmen  ts uh sh t i m ex n
zuvor  ts uh f oh er
zwanzig  ts v a n ts i ch
zwar  ts v a er
zwei  ts v ei
zweifel  ts v ei f ex l
zweimal  ts v ei m a l
zweite  ts v ei t ex
zweiten  ts v ei t ex n
zweitens  ts v ei t ex n s
zweiter  ts v ei t er
zweites  ts v ei t ex s
zwischen  ts v i sh ex n
zwischendurch  ts v i sh ex n d u er ch
zwölf  ts v oe l f
