a  q aa
kampfrausch  k aa m pf rr aw sh
kamst  k aa m s t
kamt  k aa m t
kanada  k aa n aa d aa
kanadiern  k aa n aa d iy ex n
kanadische  k aa n aa d ih sh ax
kanadischen  k aa n aa d ih sh ax n
kanaille  k aa n aa l y ax
kanal  k aa n aa l
kanalbelegung  k aa n aa l b ax l ee g uh ng
kanals  k aa n aa l s
kanapee  k aa n aa p ee
kanapees  k aa n aa p ee s
kanarienvogel  k aa n aa rr iy eh n f ooh g ax l
kandidat  k aa n d iy d aa t
kandidaten  k aa n d iy d aa t ax n
kandidatin  k aa n d iy d aa t ih n
kandidatur  k aa n d iy d aa t uh ex
kandidieren  k aa n d iy d iy rr ax n
kann  k aa n
kannen  k aa n ax n
kannst  k aa n s t
kannte  k aa n t ax
kannten  k aa n t ax n
kansas  k ae n z ax s
kant  k aa n t
kante  k aa n t ax
kanten  k aa n t ax n
kantengewichte  k aa n t ax n g ee v ih cc t ax
kanther  k aa n t ex
kantine  k aa n t iy n ax
kantons  k aa n t ooh n s
kanzel  k aa n ts ax l
kanzlei  k aa n ts l ay
kanzler  k aa n ts l ex
kanzlerin  k aa n ts l ex rr ih n
kanäle  k aa n ee l ax
kanälen  k aa n ee l ax n
kap  k aa p
kapazität  k aa p aa ts iy t ee t
kapazitäten  k aa p aa ts iy t ee t ax n
kapelle  k aa p eh l ax
kapiere  k aa p iy ex rr ax
kapital  k aa p iy t aa l
kapitalflucht  k aa p iy t aa l f l uh x t
kapitalismus  k aa p iy t aa l ih s m uh s
kapitalistischen  k aa p iy t aa l ih s t ih sh ax n
kapitals  k aa p iy t aa l s
kapitalsteuer  k aa p iy t aa l sh t oy ex
kapitalverkehr  k aa p iy t aa l f eh ex k ee ex
kapitel  k aa p iy t ax l
kapitelle  k aa p iy t eh l ax
kapiteln  k aa p iy t ax l n
kapitelsaal  k aa p iy t ax l z aa l
kapitulation  k aa p iy t uw l aa ts y ooh n
kapitulieren  k aa p iy t uw l iy rr ax n
kapitäl  k aa p iy t ee l
kapitän  k aa p iy t ee n
kapitäns  k aa p iy t ee n s
kappe  k aa p ax
kaputt  k aa p uh t
kaputtgegangen  k aa p uh t g eh g aa ng ax n
kapuze  k aa p uw ts ax
karambolage  k aa rr aa m b ooh l aa zh ax
karg  k aa ex k
kargheit  k aa ex k hh ay t
karibik  k aa rr iy b ih k
karibischen  k aa rr iy b ih sh ax n
karikatur  k aa rr iy k aa t uh ex
karikaturen  k aa rr iy k aa t uw rr ax n
karin  k aa rr ih n
karl  k aa ex l
karlheinz  k aa ex l hh ay n ts
karls  k aa ex l s
karlsruhe  k aa ex l s rr uw ax
karlsruher  k aa ex l s rr uw ex
karlsson  k aa ex l s ooh n
karneval  k aa ex n ax v aa l
karren  k aa rr ax n
karrenstraße  k aa rr ax n sh t rr aa s ax
karriere  k aa ex y ee rr ax
karrierten  k aa rr iy ex t ax n
karte  k aa ex t ax
kartell  k aa ex t eh l
kartelle  k aa ex t eh l ax
karten  k aa ex t ax n
kartenhaus  k aa ex t ax n hh aw s
kartenlegen  k aa ex t ax n l ee g ax n
kartenschlösser  k aa ex t ax n sh l oe s ex
karthagische  k aa ex t aa g ih sh ax
karthagischen  k aa ex t aa g ih sh ax n
karthago  k aa ex t aa g ooh
karthagos  k aa ex t aa g ooh s
kartoffellegen  k aa ex t ao f ax l l ee g ax n
kartoffeln  k aa ex t ao f ax l n
kartoffelreibekuchen  k aa ex t ao f ax l rr ay b ax k uw x ax n
kartoffelsalat  k aa ex t ao f ax l z aa l aa t
kartoffelsuppe  k aa ex t ao f ax l z uh p ax
kartograph  k aa ex t ooh g rr aa f
karton  k aa ex t ooh n
karussell  k aa rr uh s eh l
kasernen  k aa z eh ex n ax n
kasse  k aa s ax
kassel  k aa s ax l
kassen  k aa s ax n
kassenhaltung  k aa s ax n hh aa l t uh ng
kassenverwalters  k aa s ax n f eh ex v aa l t ex s
kassette  k aa s eh t ax
kassiert  k aa s iy ex t
kastanienbraunen  k aa s t aa n iy y ax n b rr aw n ax n
kaste  k aa s t ax
kasten  k aa s t ax n
katalanisch  k aa t aa l aa n ih sh
katalog  k aa t aa l ooh k
katarrh  k aa t aa ex hh
katastrophal  k aa t aa s t rr ooh f aa l
katastrophale  k aa t aa s t rr ooh f aa l ax
katastrophe  k aa t aa s t rr ooh f ax
katastrophen  k aa t aa s t rr ooh f ax n
katastrophenmeldung  k aa t aa s t rr ooh f ax n m eh l d uh ng
katastrophenmeldungen  k aa t aa s t rr ooh f ax n m eh l d uh ng ax n
kate  k ee t
kategorie  k aa t ax g ooh rr iy
kategorien  k aa t ax g ooh rr iy n
kater  k aa t ex
katharina  k aa t aa rr iy n aa
katharine  k aa t aa rr iy n ax
katholiken  k aa t ooh l iy k ax n
katholikin  k aa t ooh l iy k iy n
katholische  k aa t ooh l ih sh ax
katholischen  k aa t ooh l ih sh ax n
katholischer  k aa t ooh l ih sh ex
katholizismus  k aa t ooh l iy ts ih s m uh s
katomic  k aa t ooh m ih k
kattungardinen  k aa t uw n g aa ex d iy n ax n
katz  k aa ts
katze  k aa ts ax
katzen  k aa ts ax n
kauderwelsch  k aw d ex v eh l sh
kauerte  k aw ex t ax
kauf  k aw f
kaufe  k aw f ax
kaufempfehlung  k aw f q eh m pf ee l uh ng
kaufen  k aw f ax n
kaufentscheidung  k aw f q eh n ch ay d uh ng
kauferinger  k aw f ax rr ih ng ex
kaufes  k aw f ax s
kaufgegenstand  k aw f g ee g ax n sh t aa n t
kaufkraft  k aw f k rr aa f t
kaufmann  k aw f m aa n
kaufmannschaft  k aw f m aa n sh aa f t
kaufpreis  k aw f p rr ay s
kaufpreises  k aw f p rr ay z ax s
kaufs  k aw f s
kauft  k aw f t
kaufte  k aw f t ax
kaufvertrag  k aw f f eh ex t rr aa k
kaum  k aw m
kausal  k aw z aa l
kausalität  k aw z aa l iy t ee t
kaute  k aw t ax
kaution  k aw ts y ooh n
kauz  k aw ts
kavalier  k aa v aa l iy ex
kavalkade  k aa v aa l k aa d ax
kc  k aa ts ee
kcalc  k aa k aa l k
kdenlive  k aa d eh n l ay f
kdevelop  k aa d iy v eh l ao p
keaton  k iy t ax n
keck  k eh k
kecke  k eh k ax
kecken  k eh k ax n
keckes  k eh k ax s
kecksten  k eh k s t ax n
kehle  k ee l ax
kehlkopfmuskulatur  k ee l k ao pf m uh s k uh l aa t uh ex
kehre  k ee rr ax
kehren  k ee rr ax n
kehrt  k ee ex t
kehrte  k ee ex t ax
kehrten  k ee ex t ax n
keim  k ay m
keime  k ay m ax
keimen  k ay m ax n
keimte  k ay m t ax
kein  k ay n
keine  k ay n ax
keinem  k ay n ax m
keinen  k ay n ax n
keiner  k ay n ex
keinerlei  k ay n ex l ay
keines  k ay n ax s
keinesfalls  k ay n ax s f aa l s
keineswegs  k ay n ax s v ee k s
keinohrhasen  k ay n q ooh ex hh aa z ax n
keins  k ay n s
keller  k eh l ex
kellerloch  k eh l ex l ao x
kellerlöcher  k eh l ex l oe cc ex
kellermeister  k eh l ex m ay s t ex
kellner  k eh l n ex
kellnern  k eh l n ex n
ken  k eh n
kenn  k eh n
kenne  k eh n ax
kennedy  k eh n ax d iy
kennen  k eh n ax n
kennenzulernen  k eh n ax n ts uh l eh ex n ax n
kennermiene  k eh n ex m iy eh n ax
kennst  k eh n s t
kennt  k eh n t
kennte  k eh n t ax
kenntlich  k eh n t l ih cc
kenntnis  k eh n t n ih s
kenntnisnahme  k eh n t n ih s n aa m ax
kenntnisse  k eh n t n ih s ax
kenntnissen  k eh n t n ih s ax n
kennzeichen  k eh n ts ay cc ax n
kennzeichnen  k eh n ts ay cc n ax n
kennzeichnet  k eh n ts ay cc n ax t
kennzeichnete  k eh n ts ay cc n ax t ax
kentucky  k ax n t ah k iy
kepler  k eh p l ex
kerker  k eh ex k ex
kerkertür  k eh ex k ex t yy ex
kerl  k eh ex l
kern  k eh ex n
kernaufgaben  k eh ex n q aw f g aa b ax n
kernel  k er n ax l
kernenergie  k eh ex n q ee n eh ex g iy
kerngeschäft  k eh ex n g ax sh eh f t
kernkraftwerken  k eh ex n k rr aa f t v eh ex k ax n
kernthema  k eh ex n t ee m aa
kernzonen  k eh ex n ts ooh n ax n
kerze  k eh ex ts ax
kerzen  k eh ex ts ax n
kerzengerade  k eh ex ts ax n g ax rr aa d ax
kerzenlicht  k eh ex ts ax n l ih cc t
kette  k eh t ax
ketten  k eh t ax n
kettenblatt  k eh t ax n b l aa t
kg  k aa g ee
kgb  k aa g ee b ee
ki  k aa iy
kichern  k ih cc ex n
kiel  k iy l
kies  k iy s
kiesbänke  k iy s b eh ng k ax
kieselsteine  k iy s ax l sh t ay n ax
kiesinger  k iy s ih ng ex
kiesweg  k iy s v ee k
kieswege  k iy s v ee g ax
kika  k iy k aa
kill  k ih l
killer  k ih l ex
killers  k ih l ex s
killing  k ih l ih ng
kilo  k iy l ooh
kilogramm  k iy l ooh g rr aa m
kilometer  k iy l ooh m ee t ex
kilometern  k iy l ooh m eh t ex n
kilowattstunde  k ih l ooh v aa ch t uh n d ax
kind  k ih n t
kindchen  k ih n t cc ax n
kinde  k ih n d ax
kinder  k ih n d ex
kinderbettchen  k ih n d ex b eh t cc ax n
kinderbuchautorin  k ih n d ex b uw x q aw t ooh rr ih n
kinderdiebe  k ih n d ex d iy p ax
kindererziehung  k ih n d ex q eh ex ts iy uh ng
kinderfräulein  k ih n d ex f rr oy l ay n
kindergarten  k ih n d ex g aa ex t ax n
kindergeld  k ih n d ex g eh l t
kindergesichter  k ih n d ex g ax z ih cc t ex
kindergewohnheit  k ih n d ex g ax v ooh n hh ay t
kindergärten  k ih n d ex g ee ex t ax n
kinderhandel  k ih n d ex hh aa n d ax l
kinderkopf  k ih n d ex k ao pf
kinderlosen  k ih n d ex l ooh z ax n
kindermädchens  k ih n d eh ex m eh t cc ax n s
kindern  k ih n d ex n
kindersklaverei  k ih n d ex s k l aa v ax rr ay
kinderspiel  k ih n d ex sh p iy l
kinderstimmen  k ih n d ex sh t ih m ax n
kinderstube  k ih n d ex s t uw b ax
kinderstubengeschichten  k ih n d ex sh t uw b ax n g ax sh ih cc t ax n
kinderstubenkosenamen  k ih n d ex sh t uw b ax ng k ooh z ax n aa m ax n
kinderstubentür  k ih n d ex sh t uw b ax n t ue ex
kinderwärterin  k ih n d eh ex v ee ex t ax rr ih n
kinderzeit  k ih n d ex ts ay t
kinderzimmer  k ih n d ex ts ih m ex
kindes  k ih n d ax s
kindesherz  k ih n d ax s hh eh ex ts
kindesstatt  k ih n d ax s sh t aa t
kindesunterhalt  k ih n d ax s q uh n t ex hh aa l t
kindeswohl  k ih n d ax s v ooh l
kindheit  k ih n t hh ay t
kindisch  k ih n d ih sh
kindischen  k ih n d ih sh ax n
kindlich  k ih n t l ih cc
kindliche  k ih n t l ih cc ax
kindlichen  k ih n t l ih cc ax n
kindlicheren  k ih n t l ih cc ex rr ax n
kindliches  k ih n t l ih cc ax s
king  k ih ng
kingsbridge  k ih ng z b r ih jh
kinkel  k ih ng k ax l
kinn  k ih n
kinnbacken  k ih n b aa k ax n
kino  k iy n ooh
kinofilm  k iy n ooh f ih l m
kinofilmen  k iy n ooh f ih l m ax n
kinokarte  k iy n ooh k aa ex t ax
kinokarte(1)  k iy n ooh k aa ex t ax
kinokarten  k iy n ooh k aa ex t ax n
kinokritik  k iy n ooh k rr iy t iy k
kinokritiken  k ih n ooh k rr iy t ih k ax n
kinoprogramm  k iy n ooh p rr ooh g rr aa m
kinos  k iy n ooh s
kinovorschau  k iy n ooh f ooh ex sh aw
kinshasa  k ih n sh aa z aa
kippen  k ih p eh n
kirche  k ih ex cc ax
kirchen  k ih ex cc ax n
kirchenbauten  k ih ex cc ax n b aw t ax n
kirchenkatechismus  k ih ex cc ax ng k aa t eh cc ih s m uh s
kirchensteuer  k ih ex cc ax n sh t oy ex
kirchentag  k ih ex cc ax n t aa k
kirchenuhr  k ih ex cc ax n uw ex
kirchenähnliches  k ih ex cc ax n q ee n l ih cc ax s
kirchhof  k ih ex cc ooh f
kirchhofe  k ih ex cc hh ooh f ax
kirchhofstür  k ih ex cc ooh f s t yy ex
kirchliche  k ih ex cc l ih cc ax
kirchlichen  k ih ex cc l ih cc ax n
kirchlicher  k ih ex cc l ih cc ex
kirk  k er k
kirschbaumes  k ih ex sh b aw m ax s
kirsche  k ih ex sh ax
kirschen  k ih ex sh ax n
kirschenmund  k ih ex sh ax n m uh n t
kiss  k ih s
kissen  k ih s ax n
kissinger  k ih s ih ng ex
kiste  k ih s t ax
kisten  k ih s t ax n
kita  k iy t aa
kitschkunst  k ih ch k uh n s t
kitze  k ih ts ax
klage  k l aa g ax
klagen  k l aa g ax n
klagend  k l aa g ax n t
klagt  k l aa k t
klagte  k l aa k t ax
klammer  k l aa m ex
klammere  k l aa m ex rr ax
klammern  k l aa m ex n
klammert  k l aa m ex t
klammerte  k l aa m ex t ax
klang  k l aa ng
klange  k l aa ng ax
klangen  k l aa ng ax n
klappe  k l aa p ax
klappen  k l aa p ax n
klappern  k l aa p ex n
klappernd  k l aa p ex n t
klappert  k l aa p ex t
klapperten  k l aa p ex t ax n
klappfenster  k l aa pf eh n s t ex
klappt  k l aa p t
klar  k l aa ex
klare  k l aa rr ax
klarem  k l aa rr ax m
klaren  k l aa rr ax n
klarer  k l aa rr ex
klareren  k l aa rr ex rr ax n
klares  k l aa rr ax s
klarheit  k l aa ex hh ay t
klarmachen  k l aa ex m aa x ax n
klarste  k l aa ex s t ax
klarstellen  k l aa ex sh t eh l ax n
klarsten  k l aa ex s t ax n
klartext  k l aa ex t eh k s t
klasse  k l aa s ax
klassen  k l aa s ax n
klassifikation  k l aa s iy f iy k aa ts y ooh n
klassifizierung  k l aa s iy f iy ts iy rr uh ng
klassik  k l aa s ih k
klassikradio  k l aa s ih k rr aa d iy ooh
klassische  k l aa s ih sh ax
klassischen  k l aa s ih sh ax n
klassisches  k l aa s ih sh ax s
klatsch  k l aa ch
klatschbase  k l aa ch b aa z ax
klatschend  k l aa ch ax n d
klatschhafter  k l aa ch hh aa f t ex
klatschte  k l aa ch t ax
klaus  k l aw s
klausel  k l aw z ax l
klauseln  k l aw z ax l n
klavier  k l aa v iy ex
klaviergeklimper  k l aa v iy ex g eh k l ih m p ex
klavierpiecen  k l aa v iy ex p iy s ax n
klaviers  k l aa v iy ex s
klaß  k l aa s
kleben  k l ee b ax n
klebrigen  k l ee b rr ih g ax n
klebt  k l ee b t
kleid  k l ay t
kleidchen  k l ay t cc ax n
kleide  k l ay d ax
kleiden  k l ay d ax n
kleider  k l ay d ex
kleidern  k l ay d ex n
kleides  k l ay d ax s
kleidet  k l ay d ax t
kleidete  k l ay d ax t ax
kleideten  k l ay d ax t ax n
kleidsam  k l ay t z aa m
kleidung  k l ay d uh ng
kleidungsstück  k l ay d uh ng s sh t yy k
kleidungsstücke  k l ay d uh ng s sh t yy k ax
klein  k l ay n
kleinanleger  k l ay n q aa n l ee g ex
kleinasiatischer  k l ay n q aa z iy aa t ih sh ex
kleinasien  k l ay n q aa z iy ax n
kleinbetriebe  k l ay n b ax t rr iy b ax
kleincomputer  k l ay n k ao m p y uw t ex
kleine  k l ay n ax
kleinen  k l ay n ax n
kleiner  k l ay n ex
kleinere  k l ay n ex rr ax
kleineren  k l ay n ex rr ax n
kleinerer  k l ay n ex rr ex
kleines  k l ay n ax s
kleingeld  k l ay n g eh l t
kleinigkeit  k l ay n ih cc k ay t
kleinigkeiten  k l ay n ih cc k ay t ax n
kleinkörniger  k l ay n k oe ex n ih g ex
kleinlichen  k l ay n l ih cc ax n
kleinlicher  k l ay n l ih cc ex
kleinschreibung  k l ay n sh rr ay b uh ng
kleinste  k l ay n s t ax
kleinsten  k l ay n s t ax n
kleinstlebewesen  k l ay n s t l ee b ax v ee z ax n
kleinsttransportern  k l ay n s t t rr aa n s p ao ex t ex n
kleintiere  k l ay n t iy rr ax
kleinvorhaben  k l ay n f ooh ex hh aa b ax n
kleinwenig  k l ay n v ee n ih cc
kleister  k l ay s t ex
klemme  k l eh m ax
klempner  k l eh m p n ex
klettert  k l eh t ex t
kletterte  k l eh t ex t ax
klick  k l ih k
klicken  k l ih k ax n
klickt  k l ih k t
klienten  k l iy eh n t ax n
klima  k l iy m aa
klimaanlage  k l iy m aa q aa n l aa g ax
klimakonferenz  k l iy m aa k ao n f ex rr eh n ts
klimapolitik  k l iy m aa p ooh l iy t iy k
klimaschutz  k l iy m aa sh uh ts
klimatischen  k l iy m aa t ih sh ax n
klimawandel  k l iy m aa v aa n d ax l
klimpern  k l ih m p ex n
klingel  k l ih ng ax l
klingeln  k l ih ng ax l n
klingelte  k l ih ng ax l t ax
klingelzug  k l ih ng ax l ts uw k
klingen  k l ih ng ax n
klingend  k l ih ng ax n t
klingenden  k l ih ng ax n d ax n
klingender  k l ih ng ax n d ex
klingendes  k l ih ng ax n d eh s
klingt  k l ih ng t
klinik  k l iy n ih k
klinke  k l ih ng k ax
klippen  k l ih p ax n
klirren  k l ih rr ax n
klirrend  k l ih rr ax n t
klirrte  k l ih ex t ax
klopfen  k l ao pf ax n
klopfend  k l ao pf ax n d
klopfendem  k l ao pf ax n d ax m
klopfer  k l ao pf ex
klopfet  k l ao pf ax t
klopft  k l ao pf t
klopfte  k l ao pf t ax
klopften  k l ao pf t ax n
klos  k l ooh s
klose  k l ooh z ax
kloster  k l ooh s t ex
klosterbereich  k l ooh s t ex b ax rr ay cc
klosters  k l ooh s t ex s
klotz  k l ao ts
klubs  k l uh p s
kluft  k l uh f t
klug  k l uw k
kluge  k l uw g ax
klugen  k l uw g ax n
kluger  k l uw g ex
kluges  k l uw g ax s
klugheit  k l uw g hh ay t
klumpen  k l uh m p ax n
klumpens  k l uh m p ax n s
kläfften  k l eh f t ax n
kläglich  k l eh k l ih cc
klägliche  k l ee k l ih cc ax
klänge  k l eh ng ax
klängen  k l eh ng ax n
klären  k l ee rr ax n
klärung  k l ee rr uh ng
klöster  k l ohh s t ex
klösterlichen  k l ohh s t ex l ih cc ax n
klüften  k l yy f t ax n
klüger  k l ue g ex
klügste  k l yy k s t ax
kmail  k aa m ee ih l
kmh  k aa q eh m hh aa
kmines  k aa m aa iy n s
kmu  k aa q eh m q uw
knabe  k n aa b ax
knaben  k n aa b ax n
knapp  k n aa p
knappe  k n aa p ax
knappen  k n aa p ax n
knapper  k n aa p ex
knappes  k n aa p ax s
knappheit  k n aa p hh ay t
knarrenden  k n aa rr ax n d ax n
knarrt  k n aa ex t
knarrte  k n aa ex t ax
knattert  k n aa t ex t
kneten  k n ee t ax n
knicks  k n ih k s
knickte  k n ih k t ax
knie  k n iy
knien  k n iy ax n
kniend  k n iy eh n t
kniet  k n iy t
kniete  k n iy t ax
kniff  k n ih f
knight  n ay t
knirschen  k n ih ex sh ax n
knirschte  k n ih ex sh t ax
knistern  k n ih s t ex n
knistert  k n ih s t ex t
knisterte  k n ih s t ex t ax
knisterten  k n ih s t ex t ax n
knochen  k n ao x ax n
knochige  k n ao x ih g ax
knochigen  k n ao x ih g ax n
knocked  n ao k d
knode  k aa n ooh uh d
knopf  k n ao pf
knorriger  k n ao rr ih g ex
knospen  k n ao s p ax n
knospenden  n ao s p eh n d ax n
knoten  k n ooh t ax n
knotenpunkten  k n ooh t ax n p uh ng k t ax n
knuddle  k n uh d l ax
knurrte  k n uh ex t ax
knusperte  k n uh s p ex t ax
knäckebrot  k n eh k ax b rr ooh t
knöchel  k n oe cc ax l
knöchernen  k n oe cc ex n ax n
knöpfchen  k n oe pf cc ax n
knöpfe  k n oe pf ax
knöpfen  k n ohh pf ax n
knöpfte  k n oe pf t ax
knüpfen  k n yy pf ax n
koalition  k ooh aa l iy ts y ooh n
koalitionsfraktionen  k ooh aa l iy ts y ooh n s f rr aa k ts y ooh n ax n
kobold  k ooh b ao l t
kobolde  k ooh b ao l d ax
koch  k ao x
kochen  k ao x ax n
kochenden  k ao x ax n d ee n
kocher  k ao x ex
kochrezept  k ao x rr ee ts eh p t
kochrezepten  k ao x rr eh ts eh p t ax n
kochte  k ao x t ax
kodex  k ooh d eh k s
kodierung  k ooh d iy rr uh ng
kodifizieren  k ooh d iy f iy ts iy rr ax n
kodifizierung  k ooh d iy f iy ts iy rr uh ng
koffer  k ao f ex
kognitionswissenschaft  k ooh g n iy ts y ooh n s v ih s ax n sh aa f t
kognitiver  k ooh g n iy t iy v ex
kohl  k ooh l
kohle  k ooh l ax
kohlendioxid  k ooh l ax n d iy ao k s iy t
kohlenhydrate  k ooh l ax n hh ue d rr aa t ax
kohlevorräte  k ooh l ax f ooh ex rr ee t ax
kohlschwarzen  k ooh l sh v aa ex ts ax n
kohärenz  k ooh eh ex rr eh n ts
kohäsions  k ooh hh eh z y ooh n s
kohäsionsbericht  k ooh hh eh z y ooh n s b ax rr ih cc t
kohäsionsfonds  k ooh hh eh z y ooh n s f ooh s
kohäsionsländern  k ooh hh eh z y ooh n s l eh n d ex n
kohäsionspolitik  k ooh hh eh z y ooh n s p ooh l iy t ih k
kokain  k ooh k aa q iy n
koketterie  k ooh k eh t ee rr iy
kokopelli  k ooh k ooh p eh l iy
kolkraben  k ao l k rr aa b ax n
kollabieren  k ao l aa b iy rr ax n
kollabiert  k ooh l aa b iy ex t
kollaps  k ao l aa p s
kollege  k ooh l ee g ax
kollegen  k ao l ee g ax n
kollegin  k ooh l ee g ih n
kolleginnen  k ao l ee g ih n ax n
kollekte  k ooh l eh k t ax
kollektiv  k ao l eh k t iy f
kollektivbezeichnung  k ao l eh k t iy f b ax ts ay cc n uh ng
kollektive  k ooh l eh k t iy v ax
kollidieren  k ooh l iy d iy rr ax n
kollision  k ao l iy z y ooh n
kollisionen  k ao l iy z y ooh n ax n
kollisionsangriffe  k ao l iy z y ooh n s q aa n g rr ih f ax
kollisionsfreiheit  k ao l iy z y ooh n s f rr ay hh ay t
kollisionsrecht  k ao l iy z y ooh n s rr eh cc t
kolonialreich  k ooh l ooh n y aa l rr ay cc
kolonie  k ooh l ooh n iy
kolonien  k ooh l ooh n iy ax n
kolonne  k ooh l ao n ax
kolossaler  k ooh l ao s aa l ex
kolourpaint  k aa l ex p ee ih n t
kolumbianische  k ooh l uh m b iy aa n ih sh ax
kombination  k ao m b iy n aa ts y ooh n
kombinationen  k ao m b iy n aa ts y ooh n ax n
kombiniert  k ao m b iy n iy ex t
kombinierte  k ao m b iy n iy ex t ax
komfort  k ao m f ao ex
komfortabel  k ao m f ao ex t aa b ax l
komforts  k ao m f ao ex s
komik  k ooh m ih k
komisch  k ooh m ih sh
komische  k ooh m ih sh ax
komischem  k ooh m ih sh ax m
komischen  k ooh m ih sh ax n
komischer  k ooh m ih sh ex
komisches  k ooh m ih sh ax s
komitee  k ao m iy t ee
komitees  k ao m iy t ee s
komitologieverfahren  k ao m iy t ooh l ooh g iy f eh ex f aa rr ax n
komm  k ao m
komma  k ao m aa
kommando  k ao m aa n d ooh
kommandoton  k ao m aa n d ooh t ooh n
kommandowort  k ao m aa n d ooh v ao ex t
kommandozeilenschnittstelle  k ao m aa n d ooh ts ay l ax n sh n ih ch t eh l ax
komme  k ao m ax
kommen  k ao m ax n
kommende  k ao m eh n d ax
kommenden  k ao m ax n d ax n
kommentar  k ao m eh n t aa ex
kommentare  k ao m eh n t aa rr ax
kommentaren  k ao m ax n t aa rr ax n
kommentartext  k ao m eh n t aa ex t eh k s t
kommentieren  k ao m eh n t iy rr ax n
kommentiert  k ao m ax n t iy ex t
kommerzielle  k ao m eh ex ts y eh l ax
kommerziellen  k ao m eh ex ts y eh l ax n
kommerzieller  k ao m eh ex ts y eh l ex
kommis  k ao m ih s
kommissar  k ao m ih s aa ex
kommissariat  k ao m ih s aa rr iy aa t
kommissarin  k ao m ih s aa rr ih n
kommission  k ao m ih s y ooh n
kommissionen  k ao m ih s y ooh n ax n
kommissionsdokument  k ao m ih s y ooh n s d ooh k uh m eh n t
kommissionsmitglied  k ao m ih s y ooh n s m ih t g l iy t
kommissionsprogramme  k ao m ih s y ooh n s p rr ooh g rr aa m ax
kommissionsvorschlägen  k ao m ih s y ooh n s f ooh ex sh l ee g ax n
kommode  k ao m ooh d ax
kommst  k ao m s t
kommt  k ao m t
kommunalen  k ao m uh n aa l ax n
kommunalverfassungsstreit  k ao m uh n aa l f eh ex f aa s uh ng s sh t rr ay t
kommune  k ao m uw n ax
kommunen  k ao m uw n ax n
kommunikation  k ao m uw n iy k aa ts y ooh n
kommunikationsform  k ao m uw n iy k aa ts y ooh n s f ao ex m
kommunikationsmittel  k ao m uw n iy k aa ts y ooh n s m ih t ax l
kommunikationsnetze  k ao m uw n iy k aa ts y ooh n s n eh ts ax
kommunikationspartner  k ao m uw n iy k aa ts y ooh n s p aa ex t n ex
kommunikationsweg  k ao m uw n iy k aa ts y ooh n s v ee k
kommunisten  k ao m uw n ih s t ax n
kommunistischen  k ao m uw n ih s t ih sh ax n
kommunizieren  k ao m uh n iy ts iy rr ax n
kompagnon  k ao m p aa n y ooh
kompakt  k ao m p aa k t
kompaktkassetten  k ao m p aa k t k aa s eh t ax n
kompare  k ao m p ee ex
kompatibel  k ao m p aa t iy b ax l
kompatibilität  k ooh m p aa t iy b iy l iy t ee t
kompensiert  k ooh m p ax n z iy ex t
kompetenz  k ao m p ax t eh n ts
kompetenzen  k ao m p ax t eh n ts ax n
komplementarität  k ao m p l ax m eh n t aa rr iy t ee t
komplett  k ao m p l eh t
komplette  k ao m p l eh t ax
kompletten  k ao m p l eh t ax n
komplettes  k ao m p l eh t ax s
komplettiert  k ao m p l eh t iy ex t
komplex  k ao m p l eh k s
komplexe  k ao m p l eh k s ax
komplexen  k ao m p l eh k s ax n
komplexer  k ao m p l eh k s ex
komplexes  k ao m p l eh k s ax s
komplexität  k ao m p l eh k s iy t ee t
kompliment  k ao m p l iy m eh n t
komplimente  k ooh m p l iy m eh n t ax
komplizen  k ao m p l iy ts ax n
kompliziert  k ooh m p l iy ts iy ex t
komplizierte  k ao m p l iy ts iy ex t ax
komplizierter  k ao m p l iy ts iy ex t ex
kompliziertes  k ao m p l iy ts iy ex t ax s
komplott  k ooh m p l ao t
komponente  k ao m p ooh n eh n t ax
komponenten  k ao m p ooh n eh n t ax n
komponisten  k ao m p ooh n ih s t ax n
kompositionen  k ao m p ooh z iy ts y ooh n ax n
kompression  k ao m p rr eh s y ooh n
kompressionsformat  k ao m p rr eh s y ooh n s f ao ex m aa t
komprimiert  k ao m p rr iy m iy ex t
kompromiss  k ao m p rr ooh m ih s
kompromissbereitschaft  k ao m p rr ooh m ih s b ax rr ay ch aa f t
kompromisse  k ao m p rr ooh m ih s ax
kompromisses  k ao m p rr ooh m ih s ax s
kompromissformeln  k ao m p rr ooh m ih s f ao ex m ax l n
komtess  k ao m t eh s
komödie  k ao m ohh d iy y ax
kondensiert  k ao n d ax n z iy ex t
kondition  k ao n d iy ts y ooh n
kondome  k ao n d ooh m ax
kondukteur  k ao n d uh k t ohh ex
konferenz  k ao n f ex rr eh n ts
konferenzen  k ao n f ax rr eh n ts ax n
konfiguration  k ooh n f iy g uh rr aa ts iy ooh n
konfigurieren  k ao n f iy g uh rr iy rr ax n
konfitüren  k ao n f ih t ue rr ax n
konflikt  k ao n f l ih k t
konflikte  k ao n f l ih k t ax
konflikten  k ao n f l ih k t ax n
konfliktpotential  k ao n f l ih k t p ooh t eh n ts y aa l
konform  k ao n f ao ex m
konfrontieren  k ao n f rr ao n t iy rr ax n
konfrontiert  k ao n f rr ao n t iy ex t
konfusion  k ao n f uw z y ooh n
kongregation  k ao ng g rr eh g aa ts y ooh n
kongress  k ao ng g rr eh s
kongresses  k ao ng g rr eh s ax s
kongresswahlbezirk  k ao ng g rr eh s v aa l b ax ts ih ex k
